SRID;Кол-во;Доход_от_продажи;Расход_логистика;Расход_хранение;Прочие_удержания;Компенсация;Баланс;Возврат
26722400;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722401;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722402;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722826;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722851;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722852;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722853;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722854;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722857;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722858;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722860;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722861;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722863;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722864;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722865;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722866;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722867;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722868;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722869;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722870;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722871;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722872;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722873;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722874;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722875;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722876;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722877;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722878;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722879;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722880;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722881;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722882;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722883;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722884;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722885;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26722886;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728793;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728795;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728799;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728800;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728803;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728805;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728808;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728811;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728813;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728814;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728815;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728816;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728823;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728824;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728825;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728826;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728827;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728828;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728829;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728830;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728831;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728894;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728896;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728897;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728900;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728901;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728902;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728903;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728904;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728905;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728906;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728907;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728908;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728909;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728910;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728911;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728912;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728913;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728914;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728915;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728918;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728919;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728925;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26728927;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756696;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756697;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756698;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756699;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756700;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756701;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756702;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756703;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756704;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756705;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756707;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756708;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756709;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756710;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756711;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756712;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756713;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756714;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756716;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756720;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756721;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756722;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756723;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756725;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756726;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756727;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756729;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756731;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756732;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756733;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756735;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756736;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756738;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26756739;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757067;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757085;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757102;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757103;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757104;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757105;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757131;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757132;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757133;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757134;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757135;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757136;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757139;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757140;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757141;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757144;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757145;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757147;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757150;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757153;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757154;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757155;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757156;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757157;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757159;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757160;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757161;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757162;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757163;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757164;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757165;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757166;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757167;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757168;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757170;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757171;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757172;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757173;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757174;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757175;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757176;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757177;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757178;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757179;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26757180;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762620;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762622;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762625;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762626;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762627;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762631;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762632;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762633;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762634;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762635;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762636;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762643;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762645;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762707;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762708;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762763;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762765;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762767;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762768;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762770;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762771;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762772;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762773;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762774;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762775;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762776;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762777;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762778;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762779;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762780;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762781;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762782;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762783;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762784;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762785;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762786;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762787;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762790;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762792;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762793;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762794;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762796;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762801;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26762805;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795344;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795345;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795346;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795347;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795348;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795349;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795352;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795354;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795355;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795356;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795357;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795358;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795360;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795806;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795808;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795822;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795823;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795824;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795825;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795826;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795828;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795829;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795833;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795835;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795837;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795838;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795840;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795841;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795842;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795843;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795844;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795845;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795846;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795847;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795848;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795849;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795850;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795851;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26795852;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801822;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801825;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801827;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801829;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801834;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801836;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801841;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801842;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801845;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801847;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801853;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801854;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801916;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801918;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801945;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801946;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801950;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801951;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801953;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801954;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801955;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801956;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801957;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801958;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801959;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801960;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801961;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801964;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801965;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801966;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801969;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801971;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801972;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26801976;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
26ba078913d34dd0ac4bc4ba26d10e12.5.0;1;2200.00;97.76;0.00;0.00;0.00;2102.24;НЕТ
27138104;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138105;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138106;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138107;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138108;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138109;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138110;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138111;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138112;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138113;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138114;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138115;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138116;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138117;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138118;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138119;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27138120;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142949;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142950;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142951;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142952;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142953;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142954;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27142955;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160431;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160432;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160433;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160434;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160435;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160436;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160437;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160438;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160439;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160440;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160441;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160442;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160443;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160444;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160445;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160446;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160447;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160448;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160449;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160450;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160451;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160452;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160453;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160454;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160455;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160456;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160457;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160458;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160459;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160460;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160461;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27160462;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166234;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166235;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166236;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166237;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166238;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166239;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166240;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166241;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166242;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166243;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166244;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166245;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166246;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166247;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166248;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166249;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166250;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166251;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166252;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166253;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166254;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166255;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166256;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27166257;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193245;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193246;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193247;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193248;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193249;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193250;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193251;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193252;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193253;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193254;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193255;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193256;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193257;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193258;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193259;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193260;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193261;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193262;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193263;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193264;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193265;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193266;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193267;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193268;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193269;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193270;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27193271;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27198484;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
27198485;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
